category,url,expected_count_from_pfaf_page,actual_extracted_count
Apical bud,https://pfaf.org/user/Search_Use.aspx?glossary=Apical bud,,20
Chocolate,https://pfaf.org/user/Search_Use.aspx?glossary=Chocolate,,15
Coffee,https://pfaf.org/user/Search_Use.aspx?glossary=Coffee,,250
Colouring,https://pfaf.org/user/Search_Use.aspx?glossary=Colouring,,60
Condiment,https://pfaf.org/user/Search_Use.aspx?glossary=Condiment,,636
Curdling agent,https://pfaf.org/user/Search_Use.aspx?glossary=Curdling agent,,17
Drink,https://pfaf.org/user/Search_Use.aspx?glossary=Drink,,284
Egg,https://pfaf.org/user/Search_Use.aspx?glossary=Egg,,5
Flowers,https://pfaf.org/user/Search_Use.aspx?glossary=Flowers,,799
Fruit,https://pfaf.org/user/Search_Use.aspx?glossary=Fruit,,1000
Gelatine,https://pfaf.org/user/Search_Use.aspx?glossary=Gelatine,,4
Gum,https://pfaf.org/user/Search_Use.aspx?glossary=Gum,,248
Inner bark,https://pfaf.org/user/Search_Use.aspx?glossary=Inner bark,,181
Leaves,https://pfaf.org/user/Search_Use.aspx?glossary=Leaves,,1000
Manna,https://pfaf.org/user/Search_Use.aspx?glossary=Manna,,44
Milk,https://pfaf.org/user/Search_Use.aspx?glossary=Milk,,21
Nectar,https://pfaf.org/user/Search_Use.aspx?glossary=Nectar,,31
Oil,https://pfaf.org/user/Search_Use.aspx?glossary=Oil,,611
Pectin,https://pfaf.org/user/Search_Use.aspx?glossary=Pectin,,17
Pollen,https://pfaf.org/user/Search_Use.aspx?glossary=Pollen,,22
Root,https://pfaf.org/user/Search_Use.aspx?glossary=Root,,1000
Rutin,https://pfaf.org/user/Search_Use.aspx?glossary=Rutin,,18
Salt,https://pfaf.org/user/Search_Use.aspx?glossary=Salt,,29
Sap,https://pfaf.org/user/Search_Use.aspx?glossary=Sap,,126
Seed,https://pfaf.org/user/Search_Use.aspx?glossary=Seed,,1000
Seedpod,https://pfaf.org/user/Search_Use.aspx?glossary=Seedpod,,172
Shoots,https://pfaf.org/user/Search_Use.aspx?glossary=Shoots,,824
Stabilizer,https://pfaf.org/user/Search_Use.aspx?glossary=Stabilizer,,3
Stem,https://pfaf.org/user/Search_Use.aspx?glossary=Stem,,422
Sweetener,https://pfaf.org/user/Search_Use.aspx?glossary=Sweetener,,110
Tea,https://pfaf.org/user/Search_Use.aspx?glossary=Tea,,666
