scientific_name,common_name,url,categories,category_count,edibility_rating,medicinal_rating,source
Abelmoschus esculentus,Okra,https://pfaf.org/user/Plant.aspx?LatinName=Abelmoschus+esculentus,Coffee; Fruit; Leaves; Oil; Pectin; Root; Seed,7,4,3,PFAF
Abelmoschus manihot,Aibika,https://pfaf.org/user/Plant.aspx?LatinName=Abelmoschus+manihot,Flowers; Leaves; Shoots,3,4,1,PFAF
Abelmoschus moschatus,"Musk Mallow,Musk Okra",https://pfaf.org/user/Plant.aspx?LatinName=Abelmoschus+moschatus,Condiment; Leaves; Oil; Root; Seed; Seedpod; Shoots,7,2,3,PFAF
Abies alba,"Silver Fir, Christmas Tree Fir, European Silver Fir, Silver",https://pfaf.org/user/Plant.aspx?LatinName=Abies+alba,Inner bark,1,2,3,PFAF
Abies amabilis,"Red Fir,Pacific silver fir",https://pfaf.org/user/Plant.aspx?LatinName=Abies+amabilis,Gum; Inner bark; Shoots; Tea,4,1,2,PFAF
Abies balsamea,Balsam Fir,https://pfaf.org/user/Plant.aspx?LatinName=Abies+balsamea,Condiment; Gum; Inner bark; Shoots; Tea,5,3,5,PFAF
Abies firma,"Momi Fir, Japanese Fir",https://pfaf.org/user/Plant.aspx?LatinName=Abies+firma,Seed,1,1,0,PFAF
Abies fraseri,"She Balsam, Fraser fir, Southern Balsam Fir",https://pfaf.org/user/Plant.aspx?LatinName=Abies+fraseri,Condiment; Gum; Inner bark; Shoots; Tea,5,1,3,PFAF
Abies grandis,"Grand Fir, Giant Fir, Lowland White Fir",https://pfaf.org/user/Plant.aspx?LatinName=Abies+grandis,Drink; Gum; Inner bark; Shoots; Tea,5,2,2,PFAF
Abies lasiocarpa,"Subalpine Fir, Alpine Fir",https://pfaf.org/user/Plant.aspx?LatinName=Abies+lasiocarpa,Gum; Inner bark; Seed; Seedpod; Shoots; Tea,6,2,2,PFAF
Abobra tenuifolia,Cranberry Gourd,https://pfaf.org/user/Plant.aspx?LatinName=Abobra+tenuifolia,Fruit,1,1,0,PFAF
Abronia fragrans,Snowball Sand Verbena,https://pfaf.org/user/Plant.aspx?LatinName=Abronia+fragrans,Root,1,2,1,PFAF
Abronia latifolia,"Sand Verbena, Coastal sand verbena",https://pfaf.org/user/Plant.aspx?LatinName=Abronia+latifolia,Root,1,2,0,PFAF
Abutilon megapotamicum,Trailing Abutilon,https://pfaf.org/user/Plant.aspx?LatinName=Abutilon+megapotamicum,Flowers,1,4,0,PFAF
Abutilon ochsenii,,https://pfaf.org/user/Plant.aspx?LatinName=Abutilon+ochsenii,Flowers,1,3,0,PFAF
Abutilon purpurascens,,https://pfaf.org/user/Plant.aspx?LatinName=Abutilon+purpurascens,Flowers,1,2,0,PFAF
Abutilon theophrasti,"China Jute, Velvetleaf, Butterprint Buttonweed Jute, China Mallow, Indian Velvet Leaf",https://pfaf.org/user/Plant.aspx?LatinName=Abutilon+theophrasti,Fruit; Oil; Seed,3,3,2,PFAF
Abutilon vitifolium,,https://pfaf.org/user/Plant.aspx?LatinName=Abutilon+vitifolium,Flowers,1,3,0,PFAF
Abutilon x hybridum,"Chinese Lantern, Flowering Maple",https://pfaf.org/user/Plant.aspx?LatinName=Abutilon+x+hybridum,Flowers,1,3,0,PFAF
Abutilon x milleri,Trailing Abutilon,https://pfaf.org/user/Plant.aspx?LatinName=Abutilon+x+milleri,Flowers,1,3,0,PFAF
Abutilon x suntense,,https://pfaf.org/user/Plant.aspx?LatinName=Abutilon+x+suntense,Flowers,1,3,0,PFAF
Acacia aneura,Mulga Acacia,https://pfaf.org/user/Plant.aspx?LatinName=Acacia+aneura,Drink; Flowers; Gum; Manna; Seed,5,3,0,PFAF
Acacia angustissima,Prairie acacia. Timbre. Fernleaf Acacia,https://pfaf.org/user/Plant.aspx?LatinName=Acacia+angustissima,Inner bark; Seedpod,2,2,3,PFAF
Acacia auriculiformis,"Ear-Pod Wattle, Black Acacia, Earleaf, Black wattle",https://pfaf.org/user/Plant.aspx?LatinName=Acacia+auriculiformis,Oil,1,1,0,PFAF
Acacia catechu,"Cutch tree, Catechu acacia",https://pfaf.org/user/Plant.aspx?LatinName=Acacia+catechu,Inner bark,1,1,2,PFAF
Acacia colei,"Cole's wattle, Candelabra Wattle, Soap wattle,",https://pfaf.org/user/Plant.aspx?LatinName=Acacia+colei,Seedpod,1,3,2,PFAF
Acacia concinna,"Shikakai, Soap-Pod",https://pfaf.org/user/Plant.aspx?LatinName=Acacia+concinna,Condiment; Flowers; Shoots,3,2,1,PFAF
Acacia coriacea,"Wiry Wattle, Acacia, Leather Leaf",https://pfaf.org/user/Plant.aspx?LatinName=Acacia+coriacea,Flowers; Seed,2,3,0,PFAF
Acacia cowleana,Hall’s Creek wattle,https://pfaf.org/user/Plant.aspx?LatinName=Acacia+cowleana,Seedpod,1,3,2,PFAF
Acacia cultriformis,"Knife-Leaf Wattle, Knife acacia",https://pfaf.org/user/Plant.aspx?LatinName=Acacia+cultriformis,Flowers,1,2,0,PFAF
Acacia dealbata,"Mimosa, Silver wattle",https://pfaf.org/user/Plant.aspx?LatinName=Acacia+dealbata,Flowers; Gum,2,2,0,PFAF
Acacia decurrens,Green Wattle,https://pfaf.org/user/Plant.aspx?LatinName=Acacia+decurrens,Flowers; Gum,2,2,1,PFAF
Acacia farnesiana,"Sweet Acacia, Perfume Acacia, Huisache",https://pfaf.org/user/Plant.aspx?LatinName=Acacia+farnesiana,Gum,1,2,2,PFAF
Acacia holosericea,"Strap wattle, Candelabra wattle",https://pfaf.org/user/Plant.aspx?LatinName=Acacia+holosericea,Seedpod,1,1,2,PFAF
Acacia longifolia,"Sydney Golden Wattle, Acacia",https://pfaf.org/user/Plant.aspx?LatinName=Acacia+longifolia,Flowers; Seed; Seedpod,3,3,0,PFAF
Acacia melanoxylon,"Blackwood, Australia Acacia, Black Acacia, Blackwood Acacia",https://pfaf.org/user/Plant.aspx?LatinName=Acacia+melanoxylon,Flowers,1,2,1,PFAF
Acacia paradoxa,"Kangaroo Thorn, Paradox acacia",https://pfaf.org/user/Plant.aspx?LatinName=Acacia+paradoxa,Flowers,1,1,0,PFAF
Acacia podalyriifolia,"Queensland Silver Wattle, Pearl wattle",https://pfaf.org/user/Plant.aspx?LatinName=Acacia+podalyriifolia,Flowers,1,1,0,PFAF
Acacia pycnantha,Golden Wattle,https://pfaf.org/user/Plant.aspx?LatinName=Acacia+pycnantha,Flowers; Gum,2,2,0,PFAF
Acacia retinodes,"Swamp Wattle, Water wattle",https://pfaf.org/user/Plant.aspx?LatinName=Acacia+retinodes,Flowers; Seed,2,2,0,PFAF
Acacia saligna,"Blue-Leaved Wattle, Orange wattle",https://pfaf.org/user/Plant.aspx?LatinName=Acacia+saligna,Flowers; Gum,2,1,0,PFAF
Acacia sophorae,"Coastal Wattle, Acacia",https://pfaf.org/user/Plant.aspx?LatinName=Acacia+sophorae,Flowers; Seed,2,2,0,PFAF
Acacia verticillata,Prickly Moses,https://pfaf.org/user/Plant.aspx?LatinName=Acacia+verticillata,Flowers,1,1,0,PFAF
Acacia victoriae,"Bramble wattle. Gundabluey, Bardi bush",https://pfaf.org/user/Plant.aspx?LatinName=Acacia+victoriae,Gum,1,4,2,PFAF
Acaenia anserinifolia,Pirri-Pirri Bur,https://pfaf.org/user/Plant.aspx?LatinName=Acaenia+anserinifolia,Tea,1,1,1,PFAF
Acanthocereus tetragonus,Pitahaya. Barbed-wire cactus.,https://pfaf.org/user/Plant.aspx?LatinName=Acanthocereus+tetragonus,Stem,1,3,0,PFAF
Acanthosicyos horridus,Naras. Butterpips,https://pfaf.org/user/Plant.aspx?LatinName=Acanthosicyos+horridus,Oil,1,3,2,PFAF
Acca sellowiana,"Feijoa, Pineapple Guava",https://pfaf.org/user/Plant.aspx?LatinName=Acca+sellowiana,Flowers; Fruit,2,4,0,PFAF
Acer acuminatum,,https://pfaf.org/user/Plant.aspx?LatinName=Acer+acuminatum,Tea,1,1,0,PFAF
Acer argutum,,https://pfaf.org/user/Plant.aspx?LatinName=Acer+argutum,Sap; Sweetener,2,2,0,PFAF
Acer carpinifolium,Hornbeam Maple,https://pfaf.org/user/Plant.aspx?LatinName=Acer+carpinifolium,Sap; Sweetener,2,2,0,PFAF
Acer circinatum,Vine Maple,https://pfaf.org/user/Plant.aspx?LatinName=Acer+circinatum,Sap; Sweetener,2,2,1,PFAF
Acer distylum,,https://pfaf.org/user/Plant.aspx?LatinName=Acer+distylum,Sap; Sweetener,2,2,0,PFAF
Acer ginnala,Amur Maple,https://pfaf.org/user/Plant.aspx?LatinName=Acer+ginnala,Tea,1,1,0,PFAF
