dataset_source,dataset_origin,plant_name,recommended_soil,growth_stage,temperature,humidity,soil_moisture,country,state,city,hemisphere,is_tropical_country,temperature_f,temperature_range,hot_day,cold_day,optimal_temperature,humidity_level,high_humidity,low_humidity,optimal_humidity,soil_status,dry_soil,wet_soil,optimal_soil,growth_progress,irrigation_score,irrigation_needed,irrigation_priority,watering_needed,water_stress,dryness_index,heat_index,evaporation_risk,good_growing_conditions
cropdata_updated,external,wheat,black soil,germination,25,80.0,1,Unknown,Unknown,Unknown,Unknown,0,77.0,0,0,0,1,High,0,0,0,Dry,1,0,0,-1,127.0,1,High,1,12.5,17.0,33.0,56.333333333333336,0
cropdata_updated,external,wheat,black soil,germination,26,77.0,2,Unknown,Unknown,Unknown,Unknown,0,78.8,1,0,0,1,High,0,0,0,Dry,1,0,0,-1,128.0,1,High,1,8.666666666666666,18.3,33.7,57.666666666666664,0
cropdata_updated,external,wheat,black soil,germination,27,74.0,3,Unknown,Unknown,Unknown,Unknown,0,80.6,2,0,0,1,High,0,0,0,Dry,1,0,0,-1,129.0,1,High,1,6.75,19.6,34.4,59.0,0
cropdata_updated,external,wheat,black soil,germination,28,71.0,4,Unknown,Unknown,Unknown,Unknown,0,82.4,3,0,0,1,High,0,0,0,Dry,1,0,0,-1,130.0,1,High,1,5.6,20.9,35.1,60.333333333333336,0
cropdata_updated,external,wheat,black soil,germination,29,68.0,5,Unknown,Unknown,Unknown,Unknown,0,84.2,4,0,0,1,Normal,0,0,1,Dry,1,0,0,-1,131.0,1,High,1,4.833333333333333,22.2,35.8,61.666666666666664,0
cropdata_updated,external,wheat,black soil,germination,30,65.0,6,Unknown,Unknown,Unknown,Unknown,0,86.0,5,1,0,1,Normal,0,0,1,Dry,1,0,0,-1,132.0,1,High,1,4.285714285714286,23.5,36.5,63.0,0
cropdata_updated,external,wheat,black soil,germination,31,62.0,7,Unknown,Unknown,Unknown,Unknown,0,87.8,6,1,0,0,Normal,0,0,1,Dry,1,0,0,-1,133.0,1,High,1,3.875,24.8,37.2,64.33333333333333,0
cropdata_updated,external,wheat,black soil,germination,32,59.0,8,Unknown,Unknown,Unknown,Unknown,0,89.6,7,1,0,0,Normal,0,0,1,Dry,1,0,0,-1,134.0,1,High,1,3.5555555555555554,26.1,37.9,65.66666666666667,0
cropdata_updated,external,wheat,black soil,germination,33,56.0,9,Unknown,Unknown,Unknown,Unknown,0,91.4,8,1,0,0,Normal,0,0,1,Dry,1,0,0,-1,135.0,1,High,1,3.3,27.4,38.6,67.0,0
cropdata_updated,external,wheat,black soil,germination,34,53.0,10,Unknown,Unknown,Unknown,Unknown,0,93.2,9,1,0,0,Normal,0,0,1,Dry,1,0,0,-1,136.0,1,High,1,3.090909090909091,28.7,39.3,68.33333333333333,0
cropdata_updated,external,wheat,black soil,germination,35,50.0,11,Unknown,Unknown,Unknown,Unknown,0,95.0,10,1,0,0,Normal,0,0,1,Dry,1,0,0,-1,137.0,1,High,1,2.9166666666666665,30.0,40.0,69.66666666666667,0
cropdata_updated,external,wheat,black soil,germination,36,47.0,12,Unknown,Unknown,Unknown,Unknown,0,96.8,11,1,0,0,Normal,0,0,0,Dry,1,0,0,-1,138.0,1,High,1,2.769230769230769,31.3,40.7,71.0,0
cropdata_updated,external,wheat,black soil,germination,37,44.0,13,Unknown,Unknown,Unknown,Unknown,0,98.6,12,1,0,0,Normal,0,0,0,Dry,1,0,0,-1,139.0,1,High,1,2.642857142857143,32.6,41.4,72.33333333333333,0
cropdata_updated,external,wheat,black soil,germination,38,41.0,14,Unknown,Unknown,Unknown,Unknown,0,100.4,13,1,0,0,Normal,0,0,0,Dry,1,0,0,-1,140.0,1,High,1,2.533333333333333,33.9,42.1,73.66666666666667,0
cropdata_updated,external,wheat,black soil,germination,39,38.0,15,Unknown,Unknown,Unknown,Unknown,0,102.2,14,1,0,0,Low,0,0,0,Dry,1,0,0,-1,141.0,1,High,1,2.4375,35.2,42.8,75.0,0
cropdata_updated,external,wheat,black soil,germination,40,35.0,16,Unknown,Unknown,Unknown,Unknown,0,104.0,15,1,0,0,Low,0,0,0,Dry,1,0,0,-1,142.0,1,High,1,2.3529411764705883,36.5,43.5,76.33333333333333,0
cropdata_updated,external,wheat,black soil,germination,41,32.0,17,Unknown,Unknown,Unknown,Unknown,0,105.8,16,1,0,0,Low,0,1,0,Dry,1,0,0,-1,143.0,1,High,1,2.2777777777777777,37.8,44.2,77.66666666666667,0
