dataset_source,dataset_origin,plant_name,temperature,humidity,soil_moisture,soil_ph,wind_speed,country,state,city,hemisphere,is_tropical_country,temperature_f,temperature_range,hot_day,cold_day,optimal_temperature,humidity_level,high_humidity,low_humidity,optimal_humidity,soil_status,dry_soil,wet_soil,optimal_soil,irrigation_score,irrigation_needed,irrigation_priority,watering_needed,water_stress,dryness_index,heat_index,evaporation_risk,good_growing_conditions
tomato irrigation dataset,external,tomato,31.2,93.6,567.0,3.32,2.09,Unknown,Unknown,Unknown,Unknown,0,88.16,6.199999999999999,1,0,0,High,1,0,0,Wet,0,1,0,-439.48,0,Low,0,0.05492957746478873,21.84,40.56,-132.73333333333332,0
tomato irrigation dataset,external,tomato,31.2,93.6,567.0,3.77,2.09,Unknown,Unknown,Unknown,Unknown,0,88.16,6.199999999999999,1,0,0,High,1,0,0,Wet,0,1,0,-439.48,0,Low,0,0.05492957746478873,21.84,40.56,-132.73333333333332,0
tomato irrigation dataset,external,tomato,30.5,74.6,307.0,2.9,2.09,Unknown,Unknown,Unknown,Unknown,0,86.9,5.5,1,0,0,High,0,0,0,Wet,0,1,0,-172.44,0,Low,0,0.09902597402597403,23.04,37.96,-40.199999999999996,0
tomato irrigation dataset,external,tomato,30.4,76.6,308.0,7.71,2.09,Unknown,Unknown,Unknown,Unknown,0,86.72,5.399999999999999,1,0,0,High,0,0,0,Wet,0,1,0,-174.32,0,Low,0,0.09838187702265372,22.74,38.06,-41.266666666666666,0
tomato irrigation dataset,external,tomato,30.4,76.6,308.0,5.11,2.09,Unknown,Unknown,Unknown,Unknown,0,86.72,5.399999999999999,1,0,0,High,0,0,0,Wet,0,1,0,-174.32,0,Low,0,0.09838187702265372,22.74,38.06,-41.266666666666666,0
tomato irrigation dataset,external,tomato,30.3,77.1,307.0,4.48,2.09,Unknown,Unknown,Unknown,Unknown,0,86.53999999999999,5.300000000000001,1,0,0,High,0,0,0,Wet,0,1,0,-173.6,0,Low,0,0.09837662337662338,22.590000000000003,38.01,-41.166666666666664,0
tomato irrigation dataset,external,tomato,30.3,76.5,307.0,4.32,2.09,Unknown,Unknown,Unknown,Unknown,0,86.53999999999999,5.300000000000001,1,0,0,High,0,0,0,Wet,0,1,0,-173.36,0,Low,0,0.09837662337662338,22.65,37.95,-40.96666666666667,0
tomato irrigation dataset,external,tomato,30.3,78.1,307.0,3.77,2.09,Unknown,Unknown,Unknown,Unknown,0,86.53999999999999,5.300000000000001,1,0,0,High,0,0,0,Wet,0,1,0,-174.0,0,Low,0,0.09837662337662338,22.490000000000002,38.11,-41.5,0
tomato irrigation dataset,external,tomato,30.3,78.8,307.0,3.68,2.09,Unknown,Unknown,Unknown,Unknown,0,86.53999999999999,5.300000000000001,1,0,0,High,0,0,0,Wet,0,1,0,-174.28,0,Low,0,0.09837662337662338,22.42,38.18,-41.73333333333333,0
tomato irrigation dataset,external,tomato,30.3,78.8,307.0,3.67,2.09,Unknown,Unknown,Unknown,Unknown,0,86.53999999999999,5.300000000000001,1,0,0,High,0,0,0,Wet,0,1,0,-174.28,0,Low,0,0.09837662337662338,22.42,38.18,-41.73333333333333,0
