temperature,humidity,soil_moisture,heat_index,water_stress,dryness_index,evaporation_risk
25,80.0,1,33.0,12.5,17.0,56.333333333333336
26,77.0,2,33.7,8.666666666666666,18.3,57.66666666666666
27,74.0,3,34.4,6.75,19.6,59.0
28,71.0,4,35.1,5.6,20.9,60.333333333333336
29,68.0,5,35.8,4.833333333333333,22.2,61.66666666666666
30,65.0,6,36.5,4.285714285714286,23.5,63.0
31,62.0,7,37.2,3.875,24.8,64.33333333333333
32,59.0,8,37.9,3.555555555555556,26.1,65.66666666666667
33,56.0,9,38.6,3.3,27.4,67.0
34,53.0,10,39.3,3.090909090909091,28.7,68.33333333333333
35,50.0,11,40.0,2.9166666666666665,30.0,69.66666666666667
36,47.0,12,40.7,2.769230769230769,31.3,71.0
37,44.0,13,41.4,2.642857142857143,32.6,72.33333333333333
38,41.0,14,42.1,2.533333333333333,33.9,73.66666666666667
39,38.0,15,42.8,2.4375,35.2,75.0
40,35.0,16,43.5,2.3529411764705883,36.5,76.33333333333333
41,32.0,17,44.2,2.2777777777777777,37.8,77.66666666666667
42,29.0,18,44.9,2.210526315789474,39.1,79.0
43,26.0,19,45.6,2.15,40.4,80.33333333333333
44,23.0,20,46.3,2.095238095238096,41.7,81.66666666666667
45,20.0,21,47.0,2.0454545454545454,43.0,83.0
46,17.0,22,47.7,2.0,44.3,84.33333333333333
25,80.0,23,33.0,1.0416666666666667,17.0,49.0
26,77.5,24,33.75,1.04,18.25,50.16666666666666
27,75.0,25,34.5,1.0384615384615383,19.5,51.333333333333336
28,72.5,26,35.25,1.037037037037037,20.75,52.5
29,70.0,27,36.0,1.0357142857142858,22.0,53.66666666666666
30,67.5,28,36.75,1.0344827586206895,23.25,54.833333333333336
31,65.0,29,37.5,1.0333333333333334,24.5,56.0
32,62.5,30,38.25,1.032258064516129,25.75,57.16666666666666
33,60.0,31,39.0,1.03125,27.0,58.333333333333336
34,57.5,32,39.75,1.0303030303030305,28.25,59.5
35,55.0,33,40.5,1.0294117647058822,29.5,60.66666666666666
36,52.5,34,41.25,1.0285714285714285,30.75,61.833333333333336
