recommended_soil,temperature,humidity,soil_moisture
black soil,25,80.0,1
black soil,26,77.0,2
black soil,27,74.0,3
black soil,28,71.0,4
black soil,29,68.0,5
black soil,30,65.0,6
black soil,31,62.0,7
black soil,32,59.0,8
black soil,33,56.0,9
black soil,34,53.0,10
black soil,35,50.0,11
black soil,36,47.0,12
black soil,37,44.0,13
black soil,38,41.0,14
black soil,39,38.0,15
black soil,40,35.0,16
black soil,41,32.0,17
black soil,42,29.0,18
black soil,43,26.0,19
black soil,44,23.0,20
black soil,45,20.0,21
black soil,46,17.0,22
black soil,25,80.0,23
black soil,26,77.5,24
black soil,27,75.0,25
black soil,28,72.5,26
black soil,29,70.0,27
black soil,30,67.5,28
black soil,31,65.0,29
black soil,32,62.5,30
black soil,33,60.0,31
black soil,34,57.5,32
black soil,35,55.0,33
black soil,36,52.5,34
black soil,37,50.0,35
black soil,38,47.5,36
black soil,39,45.0,37
black soil,40,42.5,38
black soil,41,40.0,39
black soil,42,37.5,40
black soil,43,35.0,41
black soil,44,32.5,42
black soil,45,30.0,43
black soil,46,27.5,44
black soil,25,80.0,45
black soil,26,77.3,46
black soil,27,74.6,47
black soil,28,71.9,48
black soil,29,69.2,49
black soil,30,66.5,50
black soil,31,63.8,51
black soil,32,61.1,52
black soil,33,58.4,53
black soil,34,55.7,54
black soil,35,53.0,55
black soil,36,50.3,56
black soil,37,47.6,57
black soil,38,44.9,58
black soil,39,42.2,59
black soil,40,39.5,60
black soil,41,36.8,61
black soil,42,34.1,62
black soil,43,31.4,63
black soil,44,28.7,64
black soil,45,26.0,65
black soil,46,23.3,66
black soil,25,80.0,67
black soil,26,78.0,68
black soil,27,76.0,69
black soil,28,74.0,70
black soil,29,72.0,71
black soil,30,70.0,72
black soil,31,68.0,73
black soil,32,66.0,74
black soil,33,64.0,75
black soil,34,62.0,76
black soil,35,60.0,77
black soil,36,58.0,78
black soil,37,56.0,79
black soil,38,54.0,80
black soil,39,52.0,81
black soil,40,50.0,82
black soil,41,48.0,83
black soil,42,46.0,84
black soil,43,44.0,85
black soil,44,42.0,86
black soil,45,40.0,87
black soil,46,38.0,88
black soil,25,80.0,89
black soil,26,78.0,90
black soil,27,76.0,91
black soil,28,74.0,92
black soil,29,72.0,93
black soil,30,70.0,94
black soil,31,68.0,95
black soil,32,66.0,96
black soil,33,64.0,97
black soil,34,62.0,98
black soil,35,60.0,99
black soil,36,58.0,100
black soil,37,56.0,1
black soil,38,54.0,2
black soil,39,52.0,3
black soil,40,50.0,4
black soil,41,48.0,5
black soil,42,46.0,6
black soil,43,44.0,7
black soil,44,42.0,8
black soil,45,40.0,9
black soil,46,38.0,10
black soil,25,80.0,11
black soil,26,77.0,12
black soil,27,74.0,13
black soil,28,71.0,14
black soil,29,68.0,15
black soil,30,65.0,16
black soil,31,62.0,17
black soil,32,59.0,18
black soil,33,56.0,19
black soil,34,53.0,20
black soil,35,50.0,21
black soil,36,47.0,22
black soil,37,44.0,23
black soil,38,41.0,24
black soil,39,38.0,25
black soil,40,35.0,26
black soil,41,32.0,27
black soil,42,29.0,28
black soil,43,26.0,29
black soil,44,23.0,30
black soil,45,20.0,31
black soil,46,17.0,32
black soil,25,80.0,33
black soil,26,77.0,34
black soil,27,74.0,35
black soil,28,71.0,36
black soil,29,68.0,37
black soil,30,65.0,38
black soil,31,62.0,39
black soil,32,59.0,40
black soil,33,56.0,41
black soil,34,53.0,42
black soil,35,50.0,43
black soil,36,47.0,44
black soil,37,44.0,45
black soil,38,41.0,46
black soil,39,38.0,47
black soil,40,35.0,48
black soil,41,32.0,49
black soil,42,29.0,50
black soil,43,26.0,51
black soil,44,23.0,52
black soil,45,20.0,53
black soil,46,17.0,54
black soil,25,80.0,55
black soil,26,77.0,56
black soil,27,74.0,57
black soil,28,71.0,58
black soil,29,68.0,59
black soil,30,65.0,60
black soil,31,62.0,61
black soil,32,59.0,62
black soil,33,56.0,63
black soil,34,53.0,64
black soil,35,50.0,65
black soil,36,47.0,66
black soil,37,44.0,67
black soil,38,41.0,68
black soil,39,38.0,69
black soil,40,35.0,70
black soil,41,32.0,71
black soil,42,29.0,72
black soil,43,26.0,73
black soil,44,23.0,74
black soil,45,20.0,75
black soil,46,17.0,76
black soil,25,80.0,77
black soil,26,77.3,78
black soil,27,74.6,79
black soil,28,71.9,80
black soil,29,69.2,81
black soil,30,66.5,82
black soil,31,63.8,83
black soil,32,61.1,84
black soil,33,58.4,85
black soil,34,55.7,86
black soil,35,53.0,87
black soil,36,50.3,88
black soil,37,47.6,89
black soil,38,44.9,90
black soil,39,42.2,91
black soil,40,39.5,92
black soil,41,36.8,93
black soil,42,34.1,94
black soil,43,31.4,95
black soil,44,28.7,96
black soil,45,26.0,97
black soil,46,23.3,98
black soil,25,80.0,99
black soil,26,77.0,100
black soil,27,74.0,1
black soil,28,71.0,2
black soil,29,68.0,3
black soil,30,65.0,4
black soil,31,62.0,5
black soil,32,59.0,6
black soil,33,56.0,7
black soil,34,53.0,8
black soil,35,50.0,9
black soil,36,47.0,10
black soil,37,44.0,11
black soil,38,41.0,12
black soil,39,38.0,13
black soil,40,35.0,14
black soil,41,32.0,15
black soil,42,29.0,16
black soil,43,26.0,17
black soil,44,23.0,18
black soil,45,20.0,19
black soil,46,17.0,20
black soil,25,80.0,21
black soil,26,77.5,22
black soil,27,75.0,23
black soil,28,72.5,24
black soil,29,70.0,25
black soil,30,67.5,26
black soil,31,65.0,27
black soil,32,62.5,28
black soil,33,60.0,29
black soil,34,57.5,30
black soil,35,55.0,31
black soil,36,52.5,32
black soil,37,50.0,33
black soil,38,47.5,34
black soil,39,45.0,35
black soil,40,42.5,36
black soil,41,40.0,37
black soil,42,37.5,38
black soil,43,35.0,39
black soil,44,32.5,40
black soil,45,30.0,41
black soil,46,27.5,42
black soil,25,80.0,43
black soil,26,77.3,44
black soil,27,74.6,45
black soil,28,71.9,46
black soil,29,69.2,47
black soil,30,66.5,48
black soil,31,63.8,49
black soil,32,61.1,50
black soil,33,58.4,51
black soil,34,55.7,52
black soil,35,53.0,53
black soil,36,50.3,54
black soil,37,47.6,55
black soil,38,44.9,56
black soil,39,42.2,57
black soil,40,39.5,58
black soil,41,36.8,59
black soil,42,34.1,60
black soil,43,31.4,61
black soil,44,28.7,62
black soil,45,26.0,63
black soil,46,23.3,64
black soil,25,80.0,65
black soil,26,77.0,66
black soil,27,74.0,67
black soil,28,71.0,68
black soil,29,68.0,69
black soil,30,65.0,70
black soil,31,62.0,71
black soil,32,59.0,72
black soil,33,56.0,73
black soil,34,53.0,74
black soil,35,50.0,75
black soil,36,47.0,76
black soil,37,44.0,77
black soil,38,41.0,78
black soil,39,38.0,79
black soil,40,35.0,80
black soil,41,32.0,81
black soil,42,29.0,82
black soil,43,26.0,83
black soil,44,23.0,84
black soil,45,20.0,85
black soil,46,17.0,86
black soil,25,80.0,87
black soil,26,77.0,88
black soil,27,74.0,89
black soil,28,71.0,90
black soil,29,68.0,91
black soil,30,65.0,92
black soil,31,62.0,93
black soil,32,59.0,94
black soil,33,56.0,95
black soil,34,53.0,96
black soil,35,50.0,97
black soil,36,47.0,98
black soil,37,44.0,99
black soil,38,41.0,100
black soil,39,38.0,1
black soil,40,35.0,2
black soil,41,32.0,3
black soil,42,29.0,4
black soil,43,26.0,5
black soil,44,23.0,6
black soil,45,20.0,7
black soil,46,17.0,8
black soil,25,80.0,9
black soil,26,77.0,10
black soil,27,74.0,11
black soil,28,71.0,12
black soil,29,68.0,13
black soil,30,65.0,14
black soil,31,62.0,15
black soil,32,59.0,16
black soil,33,56.0,17
black soil,34,53.0,18
black soil,35,50.0,19
black soil,36,47.0,20
black soil,37,44.0,21
black soil,38,41.0,22
black soil,39,38.0,23
black soil,40,35.0,24
black soil,41,32.0,25
black soil,42,29.0,26
black soil,43,26.0,27
black soil,44,23.0,28
black soil,45,20.0,29
black soil,46,17.0,30
black soil,25,80.0,31
black soil,26,77.0,32
black soil,27,74.0,33
black soil,28,71.0,34
black soil,29,68.0,35
black soil,30,65.0,36
black soil,31,62.0,37
black soil,32,59.0,38
black soil,33,56.0,39
black soil,34,53.0,40
black soil,35,50.0,41
black soil,36,47.0,42
black soil,37,44.0,43
black soil,38,41.0,44
black soil,39,38.0,45
black soil,40,35.0,46
black soil,41,32.0,47
black soil,42,29.0,48
black soil,43,26.0,49
black soil,44,23.0,50
black soil,45,20.0,51
black soil,46,17.0,52
black soil,25,80.0,53
black soil,26,77.0,54
black soil,27,74.0,55
black soil,28,71.0,56
black soil,29,68.0,57
black soil,30,65.0,58
black soil,31,62.0,59
black soil,32,59.0,60
black soil,33,56.0,61
black soil,34,53.0,62
black soil,35,50.0,63
black soil,36,47.0,64
black soil,37,44.0,65
black soil,38,41.0,66
black soil,39,38.0,67
black soil,40,35.0,68
black soil,41,32.0,69
black soil,42,29.0,70
black soil,43,26.0,71
black soil,44,23.0,72
black soil,45,20.0,73
black soil,46,17.0,74
black soil,25,80.0,75
black soil,26,77.0,76
black soil,27,74.0,77
black soil,28,71.0,78
black soil,29,68.0,79
black soil,30,65.0,80
black soil,31,62.0,81
black soil,32,59.0,82
black soil,33,56.0,83
black soil,34,53.0,84
black soil,35,50.0,85
black soil,36,47.0,86
black soil,37,44.0,87
black soil,38,41.0,88
black soil,39,38.0,89
black soil,40,35.0,90
black soil,41,32.0,91
black soil,42,29.0,92
black soil,43,26.0,93
black soil,44,23.0,94
black soil,45,20.0,95
black soil,46,17.0,96
black soil,25,81.0,97
black soil,26,79.0,98
black soil,27,76.0,99
black soil,28,73.0,100
black soil,29,70.0,1
black soil,30,67.0,2
black soil,31,64.0,3
black soil,32,61.0,4
black soil,33,58.0,5
black soil,34,55.0,6
black soil,35,52.0,7
black soil,36,49.0,8
black soil,37,46.0,9
black soil,38,43.0,10
black soil,39,40.0,11
black soil,40,37.0,12
black soil,41,34.0,13
black soil,42,31.0,14
black soil,43,28.0,15
black soil,44,25.0,16
black soil,45,22.0,17
black soil,46,19.0,18
black soil,25,80.0,19
black soil,26,77.0,20
black soil,27,74.0,21
black soil,28,71.0,22
black soil,29,68.0,23
black soil,30,65.0,24
black soil,31,62.0,25
black soil,32,59.0,26
black soil,33,56.0,27
black soil,34,53.0,28
black soil,35,50.0,29
black soil,36,47.0,30
black soil,37,44.0,31
black soil,38,41.0,32
black soil,39,38.0,33
black soil,40,35.0,34
black soil,41,32.0,35
black soil,42,29.0,36
black soil,43,26.0,37
black soil,44,23.0,38
black soil,45,20.0,39
black soil,46,17.0,40
black soil,25,80.0,41
black soil,26,77.0,42
black soil,27,74.0,43
black soil,28,71.0,44
black soil,29,68.0,45
black soil,30,65.0,46
black soil,31,62.0,47
black soil,32,59.0,48
black soil,33,56.0,49
black soil,34,53.0,50
black soil,35,50.0,51
black soil,36,47.0,52
black soil,37,44.0,53
black soil,38,41.0,54
black soil,39,38.0,55
black soil,40,35.0,56
black soil,41,32.0,57
black soil,42,29.0,58
black soil,43,26.0,59
black soil,44,23.0,60
black soil,45,20.0,61
black soil,46,17.0,62
black soil,25,80.0,63
black soil,26,77.0,64
black soil,27,74.0,65
black soil,28,71.0,66
black soil,29,68.0,67
black soil,30,65.0,68
black soil,31,62.0,69
black soil,32,59.0,70
black soil,33,56.0,71
black soil,34,53.0,72
black soil,35,50.0,73
black soil,36,47.0,74
black soil,37,44.0,75
black soil,38,41.0,76
black soil,39,38.0,77
black soil,40,35.0,78
black soil,41,32.0,79
black soil,42,29.0,80
black soil,43,26.0,81
black soil,44,23.0,82
black soil,45,20.0,83
black soil,46,17.0,84
black soil,25,80.0,85
black soil,26,77.0,86
black soil,27,74.0,87
black soil,28,71.0,88
black soil,29,68.0,89
black soil,30,65.0,90
black soil,31,62.0,91
black soil,32,59.0,92
black soil,33,56.0,93
black soil,34,53.0,94
black soil,35,50.0,95
black soil,36,47.0,96
black soil,37,44.0,97
black soil,38,41.0,98
black soil,39,38.0,99
black soil,40,35.0,100
black soil,41,32.0,1
black soil,42,29.0,2
black soil,43,26.0,3
black soil,44,23.0,4
black soil,45,20.0,5
black soil,46,17.0,6
black soil,25,80.0,7
black soil,26,77.0,8
black soil,27,74.0,9
black soil,28,71.0,10
black soil,29,68.0,11
black soil,30,65.0,12
black soil,31,62.0,13
black soil,32,59.0,14
black soil,33,56.0,15
black soil,34,53.0,16
black soil,35,50.0,17
black soil,36,47.0,18
black soil,37,44.0,19
black soil,38,41.0,20
black soil,39,38.0,21
black soil,40,35.0,22
black soil,41,32.0,23
