user_id,plant_id,location_id,species_id,plant_name,scientific_name,last_watered,planting_date,watering_interval_days,recommended_soil,life_cycle,environment_type,plant_age_days,height_cm,growth_stage,propagation_method,pest_susceptibility,recommended_sunlight,is_sensor_enabled,lat_round,lon_round,timestamp,rainfall,rain_probability,wind_speed,soil_temp_c,timezone,sensor_id,soil_ph,light,watering_amount_liters,future_height_cm,growth_rate,disease_name,disease_risk,yield_kg,temperature,humidity,soil_moisture,latitude,longitude,year,month,day,hour,weekday
3,1000,2000,3000,tomato,solanum lycopersicum,2025-12-31,2025-12-06,2,well-drained loam,annual,outdoor,26,8.31,vegetative,seed propagation,"aphid, whitefly, leaf spot",full sun,True,-6.9286,107.6286,2026-01-01 00:00:00,4.79,63.7,0.888888888888889,22.08,asia/jakarta,s2000,0.25833333333333286,0.005561029863705987,0.0,11.25,0.42,none,38.12,3.38,22.82,91.5,63.52,-6.928572,107.628559,2026,1,1,0,3
3,1000,2000,3000,tomato,solanum lycopersicum,2025-12-31,2025-12-06,2,well-drained loam,annual,outdoor,26,8.31,vegetative,seed propagation,"aphid, whitefly, leaf spot",full sun,True,-6.9286,107.6286,2026-01-01 03:00:00,2.99,63.2,1.1694444444444445,24.32,asia/jakarta,s2000,0.9333333333333327,0.016361135230587614,0.0,11.25,0.42,none,26.99,3.06,25.36,89.2,55.37,-6.928572,107.628559,2026,1,1,3,3
3,1000,2000,3000,tomato,solanum lycopersicum,2025-12-31,2025-12-06,2,well-drained loam,annual,outdoor,26,8.31,vegetative,seed propagation,"aphid, whitefly, leaf spot",full sun,True,-6.9286,107.6286,2026-01-01 06:00:00,2.76,45.6,1.2472222222222222,23.86,asia/jakarta,s2000,0.4499999999999993,0.0,0.0,11.25,0.42,none,28.61,2.88,25.46,87.8,54.33,-6.928572,107.628559,2026,1,1,6,3
3,1000,2000,3000,tomato,solanum lycopersicum,2025-12-31,2025-12-06,2,well-drained loam,annual,outdoor,26,8.31,vegetative,seed propagation,"aphid, whitefly, leaf spot",full sun,True,-6.9286,107.6286,2026-01-01 09:00:00,2.76,45.0,1.8277777777777777,29.15,asia/jakarta,s2000,0.958333333333333,0.6726602210753275,0.0,11.25,0.42,none,24.38,4.64,29.9,80.2,58.32,-6.928572,107.628559,2026,1,1,9,3
3,1000,2000,3000,tomato,solanum lycopersicum,2025-12-31,2025-12-06,2,well-drained loam,annual,outdoor,26,8.31,vegetative,seed propagation,"aphid, whitefly, leaf spot",full sun,True,-6.9286,107.6286,2026-01-01 12:00:00,0.0,49.1,2.1222222222222222,29.51,asia/jakarta,s2000,0.42499999999999893,0.9888194031161279,1.64,11.2,0.413,none,15.82,4.17,31.08,74.0,44.04,-6.928572,107.628559,2026,1,1,12,3
3,1000,2000,3000,tomato,solanum lycopersicum,2025-12-31,2025-12-06,2,well-drained loam,annual,outdoor,26,8.31,vegetative,seed propagation,"aphid, whitefly, leaf spot",full sun,True,-6.9286,107.6286,2026-01-01 15:00:00,0.0,40.7,1.6249999999999998,28.05,asia/jakarta,s2000,0.33333333333333304,0.6711089864291359,1.61,11.25,0.42,none,12.97,3.74,28.65,79.8,41.07,-6.928572,107.628559,2026,1,1,15,3
3,1000,2000,3000,tomato,solanum lycopersicum,2025-12-31,2025-12-06,2,well-drained loam,annual,outdoor,26,8.31,vegetative,seed propagation,"aphid, whitefly, leaf spot",full sun,True,-6.9286,107.6286,2026-01-01 18:00:00,9.3,57.5,1.3833333333333335,21.96,asia/jakarta,s2000,1.0,0.0,0.0,11.25,0.42,none,40.16,4.09,22.56,91.4,68.4,-6.928572,107.628559,2026,1,1,18,3
3,1000,2000,3000,tomato,solanum lycopersicum,2025-12-31,2025-12-06,2,well-drained loam,annual,outdoor,26,8.31,vegetative,seed propagation,"aphid, whitefly, leaf spot",full sun,True,-6.9286,107.6286,2026-01-01 21:00:00,5.73,53.4,1.1666666666666667,21.01,asia/jakarta,s2000,0.8499999999999988,0.0,0.0,11.25,0.42,none,37.79,3.16,22.59,89.1,68.23,-6.928572,107.628559,2026,1,1,21,3
3,1000,2000,3000,tomato,solanum lycopersicum,2025-12-31,2025-12-06,2,well-drained loam,annual,outdoor,26,8.31,vegetative,seed propagation,"aphid, whitefly, leaf spot",full sun,True,-6.9286,107.6286,2026-01-02 00:00:00,0.0,44.0,1.0888888888888888,23.66,asia/jakarta,s2000,0.6249999999999991,0.006117132850076586,0.0,11.63,0.42,none,25.1,3.42,25.15,86.2,48.51,-6.928572,107.628559,2026,1,2,0,4
3,1000,2000,3000,tomato,solanum lycopersicum,2025-12-31,2025-12-06,2,well-drained loam,annual,outdoor,26,8.31,vegetative,seed propagation,"aphid, whitefly, leaf spot",full sun,True,-6.9286,107.6286,2026-01-02 03:00:00,2.26,60.6,1.3305555555555555,22.97,asia/jakarta,s2000,0.3916666666666657,0.0043317495780446635,0.0,11.69,0.42,none,28.78,4.68,23.56,87.8,62.31,-6.928572,107.628559,2026,1,2,3,4
