temperature,humidity,soil_moisture
25,80.0,1
26,77.0,2
27,74.0,3
28,71.0,4
29,68.0,5
30,65.0,6
31,62.0,7
32,59.0,8
33,56.0,9
34,53.0,10
35,50.0,11
36,47.0,12
37,44.0,13
38,41.0,14
39,38.0,15
40,35.0,16
41,32.0,17
42,29.0,18
43,26.0,19
44,23.0,20
45,20.0,21
46,17.0,22
25,80.0,23
26,77.5,24
27,75.0,25
28,72.5,26
29,70.0,27
30,67.5,28
31,65.0,29
32,62.5,30
33,60.0,31
34,57.5,32
35,55.0,33
36,52.5,34
37,50.0,35
38,47.5,36
39,45.0,37
40,42.5,38
41,40.0,39
42,37.5,40
43,35.0,41
44,32.5,42
45,30.0,43
46,27.5,44
25,80.0,45
26,77.3,46
27,74.6,47
28,71.9,48
29,69.2,49
30,66.5,50
31,63.8,51
32,61.1,52
33,58.4,53
34,55.7,54
35,53.0,55
36,50.3,56
37,47.6,57
38,44.9,58
39,42.2,59
40,39.5,60
41,36.8,61
42,34.1,62
43,31.4,63
44,28.7,64
45,26.0,65
46,23.3,66
25,80.0,67
26,78.0,68
27,76.0,69
28,74.0,70
29,72.0,71
30,70.0,72
31,68.0,73
32,66.0,74
33,64.0,75
34,62.0,76
35,60.0,77
36,58.0,78
37,56.0,79
38,54.0,80
39,52.0,81
40,50.0,82
41,48.0,83
42,46.0,84
43,44.0,85
44,42.0,86
45,40.0,87
46,38.0,88
25,80.0,89
26,78.0,90
27,76.0,91
28,74.0,92
29,72.0,93
30,70.0,94
31,68.0,95
32,66.0,96
33,64.0,97
34,62.0,98
35,60.0,99
36,58.0,100
37,56.0,1
38,54.0,2
39,52.0,3
40,50.0,4
41,48.0,5
42,46.0,6
43,44.0,7
44,42.0,8
45,40.0,9
46,38.0,10
25,80.0,11
26,77.0,12
27,74.0,13
28,71.0,14
29,68.0,15
30,65.0,16
31,62.0,17
32,59.0,18
33,56.0,19
34,53.0,20
35,50.0,21
36,47.0,22
37,44.0,23
38,41.0,24
39,38.0,25
40,35.0,26
41,32.0,27
42,29.0,28
43,26.0,29
44,23.0,30
45,20.0,31
46,17.0,32
25,80.0,33
26,77.0,34
27,74.0,35
28,71.0,36
29,68.0,37
30,65.0,38
31,62.0,39
32,59.0,40
33,56.0,41
34,53.0,42
35,50.0,43
36,47.0,44
37,44.0,45
38,41.0,46
39,38.0,47
40,35.0,48
41,32.0,49
42,29.0,50
43,26.0,51
44,23.0,52
45,20.0,53
46,17.0,54
25,80.0,55
26,77.0,56
27,74.0,57
28,71.0,58
29,68.0,59
30,65.0,60
31,62.0,61
32,59.0,62
33,56.0,63
34,53.0,64
35,50.0,65
36,47.0,66
37,44.0,67
38,41.0,68
39,38.0,69
40,35.0,70
41,32.0,71
42,29.0,72
43,26.0,73
44,23.0,74
45,20.0,75
46,17.0,76
25,80.0,77
26,77.3,78
27,74.6,79
28,71.9,80
29,69.2,81
30,66.5,82
31,63.8,83
32,61.1,84
33,58.4,85
34,55.7,86
35,53.0,87
36,50.3,88
37,47.6,89
38,44.9,90
39,42.2,91
40,39.5,92
41,36.8,93
42,34.1,94
43,31.4,95
44,28.7,96
45,26.0,97
46,23.3,98
25,80.0,99
26,77.0,100
27,74.0,1
28,71.0,2
29,68.0,3
30,65.0,4
31,62.0,5
32,59.0,6
33,56.0,7
34,53.0,8
35,50.0,9
36,47.0,10
37,44.0,11
38,41.0,12
39,38.0,13
40,35.0,14
41,32.0,15
42,29.0,16
43,26.0,17
44,23.0,18
45,20.0,19
46,17.0,20
25,80.0,21
26,77.5,22
27,75.0,23
28,72.5,24
29,70.0,25
30,67.5,26
31,65.0,27
32,62.5,28
33,60.0,29
34,57.5,30
35,55.0,31
36,52.5,32
37,50.0,33
38,47.5,34
39,45.0,35
40,42.5,36
41,40.0,37
42,37.5,38
43,35.0,39
44,32.5,40
45,30.0,41
46,27.5,42
25,80.0,43
26,77.3,44
27,74.6,45
28,71.9,46
29,69.2,47
30,66.5,48
31,63.8,49
32,61.1,50
33,58.4,51
34,55.7,52
35,53.0,53
36,50.3,54
37,47.6,55
38,44.9,56
39,42.2,57
40,39.5,58
41,36.8,59
42,34.1,60
43,31.4,61
44,28.7,62
45,26.0,63
46,23.3,64
25,80.0,65
26,77.0,66
27,74.0,67
28,71.0,68
29,68.0,69
30,65.0,70
31,62.0,71
32,59.0,72
33,56.0,73
34,53.0,74
35,50.0,75
36,47.0,76
37,44.0,77
38,41.0,78
39,38.0,79
40,35.0,80
41,32.0,81
42,29.0,82
43,26.0,83
44,23.0,84
45,20.0,85
46,17.0,86
25,80.0,87
26,77.0,88
27,74.0,89
28,71.0,90
29,68.0,91
30,65.0,92
31,62.0,93
32,59.0,94
33,56.0,95
34,53.0,96
35,50.0,97
36,47.0,98
37,44.0,99
38,41.0,100
39,38.0,1
40,35.0,2
41,32.0,3
42,29.0,4
43,26.0,5
44,23.0,6
45,20.0,7
46,17.0,8
25,80.0,9
26,77.0,10
27,74.0,11
28,71.0,12
29,68.0,13
30,65.0,14
31,62.0,15
32,59.0,16
33,56.0,17
34,53.0,18
35,50.0,19
36,47.0,20
37,44.0,21
38,41.0,22
39,38.0,23
40,35.0,24
41,32.0,25
42,29.0,26
43,26.0,27
44,23.0,28
45,20.0,29
46,17.0,30
25,80.0,31
26,77.0,32
27,74.0,33
28,71.0,34
29,68.0,35
30,65.0,36
31,62.0,37
32,59.0,38
33,56.0,39
34,53.0,40
35,50.0,41
36,47.0,42
37,44.0,43
38,41.0,44
39,38.0,45
40,35.0,46
41,32.0,47
42,29.0,48
43,26.0,49
44,23.0,50
45,20.0,51
46,17.0,52
25,80.0,53
26,77.0,54
27,74.0,55
28,71.0,56
29,68.0,57
30,65.0,58
31,62.0,59
32,59.0,60
33,56.0,61
34,53.0,62
35,50.0,63
36,47.0,64
37,44.0,65
38,41.0,66
39,38.0,67
40,35.0,68
41,32.0,69
42,29.0,70
43,26.0,71
44,23.0,72
45,20.0,73
46,17.0,74
25,80.0,75
26,77.0,76
27,74.0,77
28,71.0,78
29,68.0,79
30,65.0,80
31,62.0,81
32,59.0,82
33,56.0,83
34,53.0,84
35,50.0,85
36,47.0,86
37,44.0,87
38,41.0,88
39,38.0,89
40,35.0,90
41,32.0,91
42,29.0,92
43,26.0,93
44,23.0,94
45,20.0,95
46,17.0,96
25,81.0,97
26,79.0,98
27,76.0,99
28,73.0,100
29,70.0,1
30,67.0,2
31,64.0,3
32,61.0,4
33,58.0,5
34,55.0,6
35,52.0,7
36,49.0,8
37,46.0,9
38,43.0,10
39,40.0,11
40,37.0,12
41,34.0,13
42,31.0,14
43,28.0,15
44,25.0,16
45,22.0,17
46,19.0,18
25,80.0,19
26,77.0,20
27,74.0,21
28,71.0,22
29,68.0,23
30,65.0,24
31,62.0,25
32,59.0,26
33,56.0,27
34,53.0,28
35,50.0,29
36,47.0,30
37,44.0,31
38,41.0,32
39,38.0,33
40,35.0,34
41,32.0,35
42,29.0,36
43,26.0,37
44,23.0,38
45,20.0,39
46,17.0,40
25,80.0,41
26,77.0,42
27,74.0,43
28,71.0,44
29,68.0,45
30,65.0,46
31,62.0,47
32,59.0,48
33,56.0,49
34,53.0,50
35,50.0,51
36,47.0,52
37,44.0,53
38,41.0,54
39,38.0,55
40,35.0,56
41,32.0,57
42,29.0,58
43,26.0,59
44,23.0,60
45,20.0,61
46,17.0,62
25,80.0,63
26,77.0,64
27,74.0,65
28,71.0,66
29,68.0,67
30,65.0,68
31,62.0,69
32,59.0,70
33,56.0,71
34,53.0,72
35,50.0,73
36,47.0,74
37,44.0,75
38,41.0,76
39,38.0,77
40,35.0,78
41,32.0,79
42,29.0,80
43,26.0,81
44,23.0,82
45,20.0,83
46,17.0,84
25,80.0,85
26,77.0,86
27,74.0,87
28,71.0,88
29,68.0,89
30,65.0,90
31,62.0,91
32,59.0,92
33,56.0,93
34,53.0,94
35,50.0,95
36,47.0,96
37,44.0,97
38,41.0,98
39,38.0,99
40,35.0,100
41,32.0,1
42,29.0,2
43,26.0,3
44,23.0,4
45,20.0,5
46,17.0,6
25,80.0,7
26,77.0,8
27,74.0,9
28,71.0,10
29,68.0,11
30,65.0,12
31,62.0,13
32,59.0,14
33,56.0,15
34,53.0,16
35,50.0,17
36,47.0,18
37,44.0,19
38,41.0,20
39,38.0,21
40,35.0,22
41,32.0,23
42,29.0,24
43,26.0,25
44,23.0,26
45,20.0,27
46,17.0,28
25,80.0,29
26,77.0,30
27,74.0,31
28,71.0,32
29,68.0,33
30,65.0,34
31,62.0,35
32,59.0,36
33,56.0,37
34,53.0,38
35,50.0,39
36,47.0,40
37,44.0,41
38,41.0,42
39,38.0,43
40,35.0,44
41,32.0,45
42,29.0,46
43,26.0,47
44,23.0,48
45,20.0,49
46,17.0,50
25,80.0,51
26,77.0,52
27,74.0,53
28,71.0,54
29,68.0,55
30,65.0,56
31,62.0,57
32,59.0,58
33,56.0,59
34,53.0,60
35,50.0,61
36,47.0,62
37,44.0,63
38,41.0,64
39,38.0,65
40,35.0,66
41,32.0,67
42,29.0,68
43,26.0,69
44,23.0,70
45,20.0,71
46,17.0,72
25,80.0,73
26,77.0,74
27,74.0,75
28,71.0,76
29,68.0,77
30,65.0,78
31,62.0,79
32,59.0,80
33,56.0,81
34,53.0,82
35,50.0,83
36,47.0,84
37,44.0,85
38,41.0,86
39,38.0,87
40,35.0,88
41,32.0,89
42,29.0,90
43,26.0,91
44,23.0,92
45,20.0,93
46,17.0,94
25,80.0,95
26,77.0,96
27,74.0,97
28,71.0,98
29,68.0,99
30,65.0,100
31,62.0,1
32,59.0,2
33,56.0,3
34,53.0,4
35,50.0,5
36,47.0,6
37,44.0,7
38,41.0,8
39,38.0,9
40,35.0,10
41,32.0,11
42,29.0,12
43,26.0,13
44,23.0,14
45,20.0,15
46,17.0,16
25,80.0,17
26,77.0,18
27,74.0,19
28,71.0,20
29,68.0,21
30,65.0,22
31,62.0,23
32,59.0,24
33,56.0,25
34,53.0,26
35,50.0,27
36,47.0,28
37,44.0,29
38,41.0,30
39,38.0,31
40,35.0,32
41,32.0,33
42,29.0,34
43,26.0,35
44,23.0,36
45,20.0,37
46,17.0,38
25,80.0,39
26,77.0,40
27,74.0,41
28,71.0,42
29,68.0,43
30,65.0,44
31,62.0,45
32,59.0,46
33,56.0,47
34,53.0,48
35,50.0,49
36,47.0,50
37,44.0,51
38,41.0,52
39,38.0,53
40,35.0,54
41,32.0,55
42,29.0,56
43,26.0,57
44,23.0,58
45,20.0,59
46,17.0,60
25,80.0,61
26,77.0,62
27,74.0,63
28,71.0,64
29,68.0,65
30,65.0,66
31,62.0,67
32,59.0,68
33,56.0,69
34,53.0,70
35,50.0,71
36,47.0,72
37,44.0,73
38,41.0,74
39,38.0,75
40,35.0,76
41,32.0,77
42,29.0,78
43,26.0,79
44,23.0,80
45,20.0,81
46,17.0,82
25,80.0,83
26,77.0,84
27,74.0,85
28,71.0,86
29,68.0,87
30,65.0,88
31,62.0,89
32,59.0,90
33,56.0,91
34,53.0,92
35,50.0,93
36,47.0,94
37,44.0,95
38,41.0,96
39,38.0,97
40,35.0,98
41,32.0,99
42,29.0,100
43,26.0,1
44,23.0,2
45,20.0,3
46,17.0,4
25,80.0,5
26,77.0,6
27,74.0,7
28,71.0,8
