date_time,id,location,temp_c,humidity_pct,soil_water,pH,sunlight
2026/07/01 08:00,S001,L001,27.3,72,41,6.5,23500
2026/07/01 08:05,S001,L001,,71,40,6.5,23720
2026/07/01 08:10,S001,L001,-120,70,39,6.6,23910
2026/07/01 08:15,S001,L001,27.8,150,39,6.6,24100
2026/07/01 08:20,S001,L001,28.1,69,-15,6.6,24420
2026/07/01 08:25,S001,L001,28.2,68,38,15.2,24610
2026/07/01 08:30,S001,L001,28.4,68,37,6.5,
2026/07/01 08:30,S001,L001,28.4,68,37,6.5,
INVALID_DATE,S001,L001,28.5,67,37,6.5,25000
2026/07/01 08:45,S001,L001,999,66,36,6.4,25500
