date,air_temp_c,humidity_pct,rainfall_mm,precipitation_probability,wind_kmh,soil_temp_c,soil_moisture_pct,latitude,longitude,timezone
2026-01-01 00:00:00,22.82,91.5,4.79,63.7,3.2,22.08,63.52,-6.928572,107.628559,Asia/Jakarta
2026-01-01 03:00:00,25.36,89.2,2.99,63.2,4.21,24.32,55.37,-6.928572,107.628559,Asia/Jakarta
2026-01-01 06:00:00,25.46,87.8,2.76,45.6,4.49,23.86,54.33,-6.928572,107.628559,Asia/Jakarta
2026-01-01 09:00:00,29.9,80.2,2.76,45.0,6.58,29.15,58.32,-6.928572,107.628559,Asia/Jakarta
2026-01-01 12:00:00,31.08,74.0,0.0,49.1,7.64,29.51,44.04,-6.928572,107.628559,Asia/Jakarta
2026-01-01 15:00:00,28.65,79.8,0.0,40.7,5.85,28.05,41.07,-6.928572,107.628559,Asia/Jakarta
2026-01-01 18:00:00,22.56,91.4,9.3,57.5,4.98,21.96,68.4,-6.928572,107.628559,Asia/Jakarta
2026-01-01 21:00:00,22.59,89.1,5.73,53.4,4.2,21.01,68.23,-6.928572,107.628559,Asia/Jakarta
2026-01-02 00:00:00,25.15,86.2,0.0,44.0,3.92,23.66,48.51,-6.928572,107.628559,Asia/Jakarta
2026-01-02 03:00:00,23.56,87.8,2.26,60.6,4.79,22.97,62.31,-6.928572,107.628559,Asia/Jakarta
2026-01-02 06:00:00,24.68,89.4,4.94,44.0,4.38,23.91,60.11,-6.928572,107.628559,Asia/Jakarta
2026-01-02 09:00:00,28.84,81.4,0.0,35.2,7.26,27.36,38.67,-6.928572,107.628559,Asia/Jakarta
2026-01-02 12:00:00,31.12,68.0,0.0,22.2,5.83,29.9,39.5,-6.928572,107.628559,Asia/Jakarta
2026-01-02 15:00:00,30.04,79.1,4.0,35.1,5.63,28.37,60.72,-6.928572,107.628559,Asia/Jakarta
2026-01-02 18:00:00,23.36,91.1,0.0,60.7,4.82,22.57,54.79,-6.928572,107.628559,Asia/Jakarta
2026-01-02 21:00:00,23.15,85.2,0.43,54.8,3.6,21.94,48.75,-6.928572,107.628559,Asia/Jakarta
2026-01-03 00:00:00,25.26,85.5,0.0,38.8,5.48,24.66,48.1,-6.928572,107.628559,Asia/Jakarta
2026-01-03 03:00:00,25.09,84.6,1.34,59.2,4.53,24.46,50.58,-6.928572,107.628559,Asia/Jakarta
2026-01-03 06:00:00,24.47,87.5,4.21,47.1,4.84,23.57,61.29,-6.928572,107.628559,Asia/Jakarta
2026-01-03 09:00:00,27.84,81.2,0.0,44.2,7.54,26.41,37.25,-6.928572,107.628559,Asia/Jakarta
2026-01-03 12:00:00,31.19,68.7,0.0,33.6,5.46,30.59,38.58,-6.928572,107.628559,Asia/Jakarta
2026-01-03 15:00:00,28.18,76.9,0.0,39.4,5.33,26.47,52.84,-6.928572,107.628559,Asia/Jakarta
2026-01-03 18:00:00,24.09,89.3,0.0,54.6,2.86,23.19,61.05,-6.928572,107.628559,Asia/Jakarta
2026-01-03 21:00:00,25.17,87.8,8.73,43.5,3.24,23.64,71.69,-6.928572,107.628559,Asia/Jakarta
2026-01-04 00:00:00,25.06,85.6,0.0,43.7,2.68,23.31,57.15,-6.928572,107.628559,Asia/Jakarta
2026-01-04 03:00:00,22.63,89.0,0.0,44.1,3.07,21.07,54.07,-6.928572,107.628559,Asia/Jakarta
2026-01-04 06:00:00,24.18,83.5,0.0,58.2,3.02,23.13,47.58,-6.928572,107.628559,Asia/Jakarta
2026-01-04 09:00:00,29.11,76.4,0.0,29.4,7.53,28.55,52.66,-6.928572,107.628559,Asia/Jakarta
2026-01-04 12:00:00,30.57,75.8,2.78,43.8,6.96,28.61,53.11,-6.928572,107.628559,Asia/Jakarta
2026-01-04 15:00:00,29.7,80.1,2.12,37.8,7.07,28.58,44.6,-6.928572,107.628559,Asia/Jakarta
2026-01-04 18:00:00,23.04,94.1,3.63,64.8,4.84,22.17,66.75,-6.928572,107.628559,Asia/Jakarta
2026-01-04 21:00:00,22.98,92.0,2.01,53.1,4.15,21.1,54.62,-6.928572,107.628559,Asia/Jakarta
2026-01-05 00:00:00,23.55,92.0,2.64,64.9,4.81,22.63,59.18,-6.928572,107.628559,Asia/Jakarta
2026-01-05 03:00:00,22.71,93.2,3.3,53.7,4.88,21.71,67.76,-6.928572,107.628559,Asia/Jakarta
2026-01-05 06:00:00,22.58,94.5,0.0,52.8,5.94,21.19,47.61,-6.928572,107.628559,Asia/Jakarta
2026-01-05 09:00:00,28.49,81.2,0.0,43.7,4.67,27.7,51.49,-6.928572,107.628559,Asia/Jakarta
2026-01-05 12:00:00,29.63,75.3,0.0,39.8,7.4,28.03,48.04,-6.928572,107.628559,Asia/Jakarta
2026-01-05 15:00:00,28.04,78.6,0.0,53.4,6.45,27.35,47.71,-6.928572,107.628559,Asia/Jakarta
2026-01-05 18:00:00,25.2,85.4,1.28,53.4,4.94,24.41,58.69,-6.928572,107.628559,Asia/Jakarta
2026-01-05 21:00:00,24.49,85.6,5.94,55.5,4.49,22.74,66.57,-6.928572,107.628559,Asia/Jakarta
2026-01-06 00:00:00,23.41,86.1,0.0,57.0,3.63,21.9,54.07,-6.928572,107.628559,Asia/Jakarta
2026-01-06 03:00:00,24.03,90.7,0.0,65.7,4.81,22.54,51.54,-6.928572,107.628559,Asia/Jakarta
2026-01-06 06:00:00,24.36,83.0,1.07,57.8,3.59,23.64,62.26,-6.928572,107.628559,Asia/Jakarta
2026-01-06 09:00:00,27.59,85.1,0.0,51.8,5.86,26.22,51.28,-6.928572,107.628559,Asia/Jakarta
2026-01-06 12:00:00,31.66,70.6,0.95,32.2,7.41,29.86,49.37,-6.928572,107.628559,Asia/Jakarta
2026-01-06 15:00:00,30.11,77.8,0.0,35.0,6.7,28.77,44.53,-6.928572,107.628559,Asia/Jakarta
2026-01-06 18:00:00,25.25,81.4,0.0,36.6,4.36,24.28,55.94,-6.928572,107.628559,Asia/Jakarta
2026-01-06 21:00:00,24.77,85.6,0.0,57.2,3.99,23.6,61.51,-6.928572,107.628559,Asia/Jakarta
2026-01-07 00:00:00,22.98,93.6,0.0,56.4,5.44,21.31,51.44,-6.928572,107.628559,Asia/Jakarta
2026-01-07 03:00:00,23.95,85.3,0.0,47.8,3.32,22.11,52.37,-6.928572,107.628559,Asia/Jakarta
2026-01-07 06:00:00,22.74,87.0,3.87,48.1,3.25,21.75,62.15,-6.928572,107.628559,Asia/Jakarta
2026-01-07 09:00:00,28.85,73.2,5.63,45.2,6.96,28.32,64.62,-6.928572,107.628559,Asia/Jakarta
2026-01-07 12:00:00,32.14,71.5,0.0,34.9,6.05,30.3,39.24,-6.928572,107.628559,Asia/Jakarta
2026-01-07 15:00:00,29.96,75.7,0.0,45.3,7.41,29.05,44.91,-6.928572,107.628559,Asia/Jakarta
